"UCarea","t2","rmsB","rmsTrace","traceIneq","detIneq"
9,-0.25,0.012064285296795266,0.4718757479204041,0.013036773786884793,0.37022738992213644
9,-0.24,0.009492606247053675,0.37560593636047096,0.011111987850579068,0.31543040667914596
9,-0.23,0.007283813939552897,0.29221388592332054,0.009372826047696963,0.26594320044010333
9,-0.22,0.005394015702606526,0.22018695954412998,0.007809339880754763,0.2214830348349428
9,-0.21,0.003787321701378439,0.15830680743428135,0.0064124657855390114,0.18178752913860236
9,-0.2,0.002434239149973765,0.10558015343346806,0.005173836594484712,0.1466129898366253
9,-0.19,0.0013012829967745632,0.06118796544045985,0.004085701093092625,0.11573280866088574
9,-0.18,0.00039776063425208855,0.024447836843987394,0.0031408596530033634,0.08893614681666749
9,-0.17,0.0003413324109355196,0.005198147520157148,0.0023326051404145994,0.06602697034232707
9,-0.16,0.0009004025862186912,0.02828654797702836,0.001654673836266334,0.04682169710934827
9,-0.15,0.0012783507212981555,0.045186511220534194,0.0011012254788474458,0.031150556951405218
9,-0.14,0.0015222434740155538,0.056275163647847314,0.0006667896445058002,0.018854275193740024
9,-0.13,0.0016396904268299781,0.06186687036386244,0.0003462213478361197,0.009784411854329723
9,-0.12,0.0016185282143500873,0.062237343816933584,0.00013471628983086585,0.003802338018877301
9,-0.11,0.0014673151649335129,0.057630212010355265,0.000027758211442687724,0.0007785199650839226
9,-0.1,0.001213908127787529,0.048262159144921594,0.000021104418814203793,0.000591866517198931
9,-0.09,0.0008679613810012053,0.03432711697951541,0.00011076610252808638,0.003129118387145679
9,-0.08,0.0004032775534358833,0.016001774296902603,0.00029299129533365276,0.008284304364601557
9,-0.07,0.00008600927960025623,0.006521516994520795,0.0005642499678464851,0.01595825538783897
9,-0.06,0.0008172320121410885,0.033211902286128,0.0009212100462474583,0.026057998012952603
9,-0.05,0.00154324558943261,0.06382067249918551,0.0013607432121038674,0.03849660257823408
9,-0.04,0.0023587191720813518,0.09826587106562315,0.0018798928449242152,0.053192504099988075
9,-0.03,0.0032515053714312282,0.13643536574469708,0.0024758716263622196,0.07006927769579449
9,-0.02,0.004218632931500581,0.17822510849357212,0.0031460498383592862,0.08905527007667183
9,-0.01,0.005256507514123964,0.22353822437424226,0.0038879445633140533,0.11008328620513737
9,0.,0.006362035406257226,0.2722841075344029,0.004699210619339555,0.13309029600196945
16,-0.25,1.4465749059629498e-6,0.00009597288207460071,0.013719927623697406,0.6943692571513322
16,-0.24,5.627500313748111e-7,8.53178532931573e-6,0.011368165580985416,0.5746744973642104
16,-0.23,1.5409001751344443e-6,0.00003772770767826206,0.009362704191290488,0.472824290471161
16,-0.22,1.887091510912213e-6,0.00005803918934334893,0.00765458630885865,0.3862343744483835
16,-0.21,1.85934805731793e-6,0.00006237549645781897,0.006202654908323101,0.31274661563114764
16,-0.2,1.626909092182347e-6,0.00005739938930758409,0.0049721576893825,0.2505494167125899
16,-0.19,1.3009789527403974e-6,0.00004759786927677047,0.003933628105816428,0.19811471251034074
16,-0.18,9.53660899047807e-7,0.0000359762049006318,0.0030619829867679794,0.15414775191341376
16,-0.17,6.300919543236685e-7,0.000024501393434980102,0.002335786982807923,0.11754664316250892
16,-0.16,3.564828014342997e-7,0.000014396182642047242,0.0017366793525273399,0.08737085326355026
16,-0.15,1.4559678767651582e-7,6.340383528626296e-6,0.0012488294877945807,0.06281221695453194
16,-0.14,5.717831690087855e-10,6.125204838512405e-7,0.0008586083622239362,0.04317689164516006
16,-0.13,8.236071652622169e-8,2.808109814591883e-6,0.0005542030136632927,0.027865000189557978
16,-0.12,1.1190910207384952e-7,4.166404555090019e-6,0.00032536191094216304,0.016357133216975874
16,-0.11,1.0028041000377115e-7,3.8753491852930344e-6,0.00016316209167060178,0.008202084384755073
16,-0.1,6.2112223770798e-8,2.4734444263273167e-6,0.00005981652513883411,0.0030067977737676457
16,-0.09,1.367459473626378e-8,5.920217969566549e-7,8.51404778766371e-6,0.00042796803824625537
16,-0.08,2.773020666958281e-8,1.0701056304663588e-6,3.282403803932175e-6,0.0001649935361035449
16,-0.07,4.4220616796642976e-8,1.766444540165592e-6,0.00003887370209015794,0.0019540420190984156
16,-0.06,1.767840808640289e-8,7.183961652226835e-7,0.00011066696988940166,0.005563045963293822
16,-0.05,6.99924311291931e-8,2.872445833815504e-6,0.00021458523418285526,0.01078739461879685
16,-0.04,2.3667102205336714e-7,9.8145656325354e-6,0.0003470253812244101,0.0174464231228634
16,-0.03,4.998740967305534e-7,0.000020918812167664148,0.0005047960190595111,0.025380214390899377
16,-0.02,8.766484959793013e-7,0.000036992288214748204,0.0006850670491905984,0.03444700822085784
16,-0.01,1.3834936182256543e-6,0.00005883353803815954,0.0008853241620036962,0.04452247180775418
16,0.,2.036306724948047e-6,0.00008722875926065767,0.0011033878205039223,0.05549290915655767
