Np,UCarea,t2,aniso,twist,gap
8,9,-0.25,1.0,0,0.5821591388583771
8,9,-0.24,1.0,0,0.5838334071743636
8,9,-0.23,1.0,0,0.5854945105597923
8,9,-0.22,1.0,0,0.5871460899135457
8,9,-0.21,1.0,0,0.5887781366818239
8,9,-0.2,1.0,0,0.5903976889023507
8,9,-0.19,1.0,0,0.5920082247272931
8,9,-0.18,1.0,0,0.5936093643756808
8,9,-0.17,1.0,0,0.5952007156891294
8,9,-0.16,1.0,0,0.5967818516543688
8,9,-0.15,1.0,0,0.5983523558016517
8,9,-0.14,1.0,0,0.599911781285412
8,9,-0.13,1.0,0,0.6014596649535235
8,9,-0.12,1.0,0,0.6029955215444942
8,9,-0.11,1.0,0,0.6045188679092872
8,9,-0.1,1.0,0,0.606029169354031
8,9,-0.09,1.0,0,0.6075258931182573
8,9,-0.08,1.0,0,0.6090084649605887
8,9,-0.07,1.0,0,0.6102870716984994
8,9,-0.06,1.0,0,0.6107826565683603
8,9,-0.05,1.0,0,0.6112712454567147
8,9,-0.04,1.0,0,0.6117456927984146
8,9,-0.03,1.0,0,0.6122193268383603
8,9,-0.02,1.0,0,0.6126618576674746
8,9,-0.01,1.0,0,0.6131012030372736
8,9,0.0,1.0,0,0.613525077338041
8,16,-0.25,1.0,0,1.9318402433299298e-10
8,16,-0.24,1.0,0,5.758404864053546e-11
8,16,-0.23,1.0,0,2.239680663151944e-10
8,16,-0.22,1.0,0,1.1936007737745058e-11
8,16,-0.21,1.0,0,4.407996190280983e-11
8,16,-0.2,1.0,0,1.5998313784848506e-13
8,16,-0.19,1.0,0,9.556799795973347e-11
8,16,-0.18,1.0,0,1.7024004428378703e-10
8,16,-0.17,1.0,0,1.9903967363177344e-11
8,16,-0.16,1.0,0,6.111999795166412e-12
8,16,-0.15,1.0,0,1.2591994114075078e-10
8,16,-0.14,1.0,0,1.2195200405074047e-10
8,16,-0.13,1.0,0,7.679412661332208e-13
8,16,-0.12,1.0,0,1.0761602720066321e-10
8,16,-0.11,1.0,0,1.4534407011268513e-10
8,16,-0.1,1.0,0,1.721119913256075e-10
8,16,-0.09,1.0,0,4.467193281953996e-11
8,16,-0.08,1.0,0,1.7632006965584424e-11
8,16,-0.07,1.0,0,1.993594178628655e-11
8,16,-0.06,1.0,0,1.0675205164289991e-10
8,16,-0.05,1.0,0,2.25279794818789e-11
8,16,-0.04,1.0,0,7.182399119898264e-11
8,16,-0.03,1.0,0,1.0609602085764891e-10
8,16,-0.02,1.0,0,5.371203481985276e-11
8,16,-0.01,1.0,0,8.22399925937134e-11
8,16,0.0,1.0,0,2.502409390814364e-11
8,25,-0.25,1.0,0,2.507030000264976e-08
8,25,-0.24,1.0,0,1.508407504804965e-08
8,25,-0.23,1.0,0,2.621385001427834e-08
8,25,-0.22,1.0,0,2.7591175004448854e-08
8,25,-0.21,1.0,0,3.097592495004964e-08
8,25,-0.2,1.0,0,4.948425003092893e-09
8,25,-0.19,1.0,0,3.1572450036321253e-08
8,25,-0.18,1.0,0,2.3152525036040927e-08
8,25,-0.17,1.0,0,2.5380525025403555e-08
