# eigenvalues
# kx ky  E
0 0 -15.02589617517
0 0 -15.001555746333
0 1 -15.001324884312
0 1 -15.00116393363
0 2 -15.001168435057
0 2 -14.997053152572
0 3 -15.001324884204
0 3 -15.001163933115
1 0 -15.000935445845
1 0 -15.000883778263
1 1 -15.001247668053
1 1 -15.000890925065
1 2 -15.001358186469
1 2 -14.998574152537
1 3 -15.00124766826
1 3 -15.000890925306
2 0 -15.00090499967
2 0 -14.9926359804
2 1 -15.001162658316
2 1 -14.996426391681
2 2 -15.000845411035
2 2 -15.000845390346
2 3 -15.001162652778
2 3 -14.996426394253
3 0 -15.000935446944
3 0 -15.000883778613
3 1 -15.001247668246
3 1 -15.000890925626
3 2 -15.001358186215
3 2 -14.998574151352
3 3 -15.001247668184
3 3 -15.000890925644
