# eigenvalues
# kx ky  E
0 0 -15.692716607321
0 0 -15.685215776896
0 1 -15.685137943372
0 1 -15.685099988048
0 2 -15.685080558678
0 2 -15.683845400115
0 3 -15.685137943602
0 3 -15.685099988695
1 0 -15.685007582713
1 0 -15.684994526595
1 1 -15.685112676842
1 1 -15.685001023274
1 2 -15.685126600106
1 2 -15.684274381953
1 3 -15.685112676815
1 3 -15.685001022699
2 0 -15.684998911191
2 0 -15.682496045285
2 1 -15.685078177906
2 1 -15.683596164661
2 2 -15.684945287658
2 2 -15.679439686413
2 3 -15.685078177885
2 3 -15.68359616404
3 0 -15.685007583086
3 0 -15.684994525772
3 1 -15.685112676798
3 1 -15.685001023381
3 2 -15.685126599857
3 2 -15.68427438214
3 3 -15.685112676881
3 3 -15.685001023573
