aniso, trace
1.,0.00004689222580161482
1.01,0.00014924996865934813
1.02,0.0004523102036268278
1.03,0.0009502302488215232
1.04,0.0016373940247376437
1.05,0.0025084011750351595
1.06,0.003558056808177617
1.07,0.004781361818974274
1.08,0.006173503752147207
1.09,0.007729848172800326
1.1,0.009445930511326535
1.11,0.011317448352564709
1.12,0.013340254141212838
1.13,0.015510348277565162
1.1400000000000001,0.017823872579353053
1.15,0.020277104087307214
1.16,0.022866449193486283
1.17,0.025588438072950272
1.18,0.02843971940062431
1.19,0.0314170553364967
1.2,0.03451731676335761
1.21,0.0377374787623252
1.22,0.041074616312519005
1.23,0.04452590020192878
1.24,0.04808859313753737
1.25,0.051760046043441726
1.26,0.05553769453645796
1.27,0.05941905556936006
1.28,0.06340172423252555
1.29,0.06748337070530923
1.3,0.07166173734910282
1.31,0.0759346359343767
1.32,0.08029994499456536
1.33,0.08475560730013373
1.34,0.08929962744646122
1.35,0.09393006954961086
1.3599999999999999,0.09864505504435375
1.37,0.10344276057933507
1.38,0.10832141600418056
1.3900000000000001,0.11327930244416869
1.4,0.11831475045781716
1.4100000000000001,0.12342613827342978
1.42,0.1286118901004825
1.43,0.13387047451245335
1.44,0.1392004028972462
1.45,0.1446002279723182
1.46,0.15006854236095607
1.47,0.15560397722723185
1.48,0.1612052009664397
1.49,0.16687091794864223
1.5,0.17259986731278892
1.51,0.17839082180896373
1.52,0.18424258668661342
1.53,0.19015399862662766
1.54,0.19612392471525192
1.55,0.20215126145789647
1.56,0.20823493383117728
1.57,0.2143738943712793
1.58,0.22056712229718925
1.5899999999999999,0.22681362266716773
1.6,0.23311242556701342
