UCarea,t2,rmsB,rmsTrace,traceIneq,detIneq
9,-0.25,0.012064285296795388,0.47187574792040565,0.013036773786884783,0.37022738992213616
9,-0.24,0.009492606247053682,0.3756059363604734,0.011111987850579071,0.3154304066791467
9,-0.23,0.007283813939553042,0.29221388592332487,0.009372826047696953,0.2659432004401035
9,-0.22,0.005394015702606455,0.22018695954413173,0.00780933988075475,0.22148303483494275
9,-0.21,0.0037873217013784785,0.15830680743427972,0.006412465785539014,0.181787529138602
9,-0.20,0.002434239149973766,0.10558015343346608,0.005173836594484713,0.14661298983662566
9,-0.19,0.0013012829967747085,0.06118796544046249,0.00408570109309261,0.11573280866088557
9,-0.18,0.00039776063425218564,0.02444783684399218,0.0031408596530033686,0.0889361468166676
9,-0.17,0.0003413324109355663,0.005198147520154653,0.0023326051404145938,0.0660269703423277
9,-0.16,0.0009004025862187066,0.028286547977035115,0.0016546738362663601,0.046821697109348276
9,-0.15,0.001278350721298255,0.045186511220533875,0.001101225478847421,0.03115055695140508
9,-0.14,0.0015222434740155943,0.05627516364784526,0.0006667896445057983,0.018854275193739944
9,-0.13,0.0016396904268300757,0.06186687036386269,0.00034622134783612326,0.009784411854329583
9,-0.12,0.0016185282143503026,0.062237343816933924,0.0001347162898308604,0.0038023380188772554
9,-0.11,0.001467315164933676,0.0576302120103583,0.000027758211442685478,0.0007785199650838314
9,-0.1,0.0012139081277874081,0.04826215914493656,0.000021104418814216248,0.0005918665171988637
9,-0.090,0.0008679613810020612,0.034327116979519096,0.00011076610252808473,0.0031291183871456694
9,-0.080,0.0004032775534364059,0.01600177429690689,0.0002929912953336558,0.00828430436460169
9,-0.070,0.00008600927960115054,0.006521516994501322,0.0005642499678465646,0.015958255387840844
9,-0.060,0.0008172320121413982,0.03321190228612717,0.0009212100462474486,0.026057998012952766
9,-0.050,0.0015432455894327378,0.06382067249918022,0.0013607432121038668,0.038496602578233986
9,-0.040,0.0023587191720812243,0.09826587106562217,0.0018798928449242213,0.05319250409998817
9,-0.030,0.0032515053714311545,0.1364353657446905,0.002475871626362225,0.07006927769579441
9,-0.020,0.004218632931500508,0.17822510849357182,0.00314604983835929,0.08905527007667201
9,-0.01,0.005256507514123727,0.2235382243742422,0.0038879445633140564,0.11008328620513755
9,0,0.006362035406257078,0.27228410753439714,0.004699210619339565,0.13309029600196962
16,-0.25,1.4465749675337713e-6,0.00009597288452058488,0.013719927623697406,0.6943692571513334
16,-0.24,5.627500987943947e-7,8.531782632156758e-6,0.011368165580985393,0.5746744973642074
16,-0.23,1.540900161110663e-6,0.000037727707133594044,0.009362704191290424,0.4728242904711576
16,-0.22,1.8870914983694728e-6,0.00005803918886462477,0.00765458630885869,0.3862343744483848
16,-0.21,1.8593480881637671e-6,0.00006237549769071493,0.006202654908323054,0.31274661563114703
16,-0.20,1.626909125152942e-6,0.00005739939061265056,0.004972157689382524,0.250549416712591
16,-0.19,1.3009789207795197e-6,0.00004759786799436602,0.003933628105816417,0.1981147125103396
16,-0.18,9.53660894777048e-7,0.0000359762047474531,0.00306198298676797,0.1541477519134126
16,-0.17,6.300919286543489e-7,0.00002450139239851489,0.0023357869828079265,0.11754664316251107
16,-0.16,3.564827916187064e-7,0.000014396182243083757,0.0017366793525273746,0.08737085326355189
16,-0.15,1.4559678552791047e-7,6.340383448878196e-6,0.0012488294877945842,0.0628122169545319
16,-0.14,5.717673234998291e-10,6.125198832451124e-7,0.0008586083622239137,0.04317689164515854
16,-0.13,8.236070170680404e-8,2.808109249942857e-6,0.000554203013663329,0.027865000189559546
16,-0.12,1.1190910937409643e-7,4.166404831725727e-6,0.0003253619109421594,0.01635713321697556
16,-0.11,1.0028040366585292e-7,3.87534896760903e-6,0.00016316209167062,0.008202084384755047
16,-0.1,6.211222671757044e-8,2.4734445541019353e-6,0.00005981652513888838,0.0030067977737675096
16,-0.090,1.3674588706900028e-8,5.920215579246584e-7,8.514047787651584e-6,0.00042796803824682
16,-0.080,2.7730201970205337e-8,1.0701053988707067e-6,3.2824038039890516e-6,0.00016499353610338512
16,-0.070,4.422059128252731e-8,1.766443516119407e-6,0.000038873702090195875,0.001954042019097896
16,-0.060,1.767840840925283e-8,7.183961892403987e-7,0.00011066696988942649,0.005563045963293078
16,-0.050,6.999243160686116e-8,2.8724458590774817e-6,0.00021458523418281866,0.01078739461879805
16,-0.040,2.3667101729786414e-7,9.814565461505187e-6,0.0003470253812244131,0.017446423122862452
16,-0.030,4.998740949018019e-7,0.000020918812086069613,0.0005047960190595358,0.02538021439089821
16,-0.020,8.766484613851271e-7,0.00003699228686024808,0.0006850670491905987,0.034447008220857535
