UCarea,t2,rmsB,rmsTrace,traceIneq,detIneq
6,-0.25,0.08887447802303235,4.051903543454929,0.05443889014853192,0.14778113110875288
6,-0.24,0.0877515215647491,3.9781572123459474,0.050167168593641544,0.1282615138630352
6,-0.23,0.08646654505873085,3.9024431453509445,0.04613349096648183,0.11178704435939422
6,-0.22,0.08502211960299134,3.8243436618379865,0.042336529799436,0.09822565845307873
6,-0.21,0.08342556037877645,3.7436113281865633,0.03877514429629,0.08744887449105329
6,-0.20,0.08168874475706299,3.6601367961032385,0.03544835385384444,0.07933162193064117
6,-0.19,0.07982800943906754,3.573978805932277,0.0323553128776843,0.07375228232688204
6,-0.18,0.07786421101036838,3.48537327755547,0.02949528701897438,0.07059250389349588
6,-0.17,0.07582293429604724,3.3947501729308365,0.02686762991248164,0.06973721151753491
6,-0.16,0.07373479849985204,3.3027545829701745,0.024471763759604446,0.07107447556939452
6,-0.15,0.07163583640068527,3.21027200985476,0.022307158610924895,0.07449547356034411
6,-0.14,0.06956792573328427,3.1184581448576214,0.020373314907565544,0.07989442300203543
6,-0.13,0.06757907459054789,3.0287718168710582,0.0186697464430845,0.08716849202749222
6,-0.12,0.06572350693631732,2.9429981903049374,0.017195965234744127,0.0962177551621866
6,-0.11,0.06406127803639747,2.8632870440647666,0.015951466286830838,0.10694515060701082
6,-0.1,0.06265714359688854,2.7921417392229566,0.014935722024097849,0.1192563092479365
6,-0.090,0.061578446513210115,2.7324094281103983,0.014148144084170717,0.1330597116762728
6,-0.080,0.06089183982805986,2.6871921391640674,0.013588133932705691,0.1482663629087443
6,-0.070,0.06065904084413616,2.6597302917579437,0.013255008186964873,0.16479036891116783
6,-0.060,0.060932028960181475,2.6531989805291003,0.013148001937859009,0.18254766375445652
6,-0.050,0.06174868063447962,2.6704702085976924,0.013266298489285884,0.20145727519364112
6,-0.040,0.06312980201950406,2.713864122819287,0.01360900426048921,0.22144060579388194
6,-0.030,0.06507828568938014,2.784954733672208,0.014175127713142936,0.24242154454512807
6,-0.020,0.06758066412276403,2.884474275223632,0.014963598761841435,0.26432640158854753
6,-0.01,0.07061028824055854,3.012339122579789,0.015973252428117528,0.287083927585825
6,0,0.07413142869004974,3.16777969597824,0.017202834122141592,0.31062525066161634
24,-0.25,3.700536466759734e-8,2.1137571867328943e-6,0.22745972094583541,0.6151146815089586
24,-0.24,3.1471248723672006e-8,1.756141154446051e-6,0.2004620567178414,0.46486893756352304
24,-0.23,2.663194405281914e-8,1.458202032458769e-6,0.17621259223790384,0.3481469759320621
24,-0.22,2.2465265445800274e-8,1.2106003060604861e-6,0.15445069835573744,0.25785222387678597
24,-0.21,1.8927082018047845e-8,1.0055715781041814e-6,0.1349399572992274,0.18836904345869104
24,-0.20,1.595588062555153e-8,8.364227120390908e-7,0.11746652951253708,0.13525838509804217
24,-0.19,1.34792674308199e-8,6.97260593570422e-7,0.10183741559113667,0.09501378975312286
24,-0.18,1.142129611163871e-8,5.828902326649989e-7,0.08787869879232758,0.06486674428154977
24,-0.17,9.70874961205245e-9,4.887794876606627e-7,0.07543382691150709,0.04263199503252518
24,-0.16,8.276412181747312e-9,4.1107434474092573e-7,0.06436197199949593,0.02658496357149038
24,-0.15,7.069821310678342e-9,3.465892969326945e-7,0.054536491292549505,0.01536479986305099
24,-0.14,6.046372495294661e-9,2.9278345967729734e-7,0.045843501761850564,0.007897817427648248
24,-0.13,5.174103041826952e-9,2.476836980431933e-7,0.0381805729339476,0.0033370773800234566
24,-0.12,4.429641083129241e-9,2.097859839690383e-7,0.031455537316366536,0.0010147357938855765
24,-0.11,3.795483983765283e-9,1.7793782618813946e-7,0.025585414262296047,0.00040446120867725663
24,-0.1,3.256994121698857e-9,1.512050327965656e-7,0.020495440937331244,0.001091788523664717
24,-0.090,2.800503830902508e-9,1.2877754113831444e-7,0.01611820283393365,0.0027507237795605073
24,-0.080,2.4123972637161427e-9,1.0991046107932452e-7,0.012392855731451751,0.005125271243101913
24,-0.070,2.079700487619387e-9,9.39257419982604e-8,0.009264430909212685,0.008014837040518325
24,-0.060,1.7930596220732916e-9,8.03144828905674e-8,0.006683215631908456,0.011262686923076108
24,-0.050,1.551974736640831e-9,6.894454058995814e-8,0.004604201327575211,0.014746811644805775
24,-0.040,1.372315421644733e-9,6.038408166878496e-8,0.0029865923890537416,0.018372691729639748
24,-0.030,1.29208887896725e-9,5.61914672654494e-8,0.001793369093811874,0.02206756200336745
24,-0.020,1.3619667543564708e-9,5.85866184997925e-8,0.0009908986979056482,0.025775861497147463
24,-0.01,1.8062374714029515e-9,6.922958387323732e-8,0.0005485894602915195,0.02945562120277757
24,0,2.308201801771421e-9,9.889843523782861e-8,0.0004385824992770766,0.03307559295557103
54,-0.25,6.373140211588371e-14,2.59892244275524e-12,0.4350458489243228,1.6489830079105277
54,-0.24,1.1298179817919924e-13,4.630733392873466e-12,0.3661794379585113,1.0955708066115273
54,-0.23,1.1131138799134297e-14,1.371898622406306e-12,0.30866442100446695,0.7312451311495265
54,-0.22,6.360433751745773e-14,2.9600474383188e-12,0.2603988200377717,0.48922642129178073
54,-0.21,2.878694944773002e-14,1.5675565447798462e-12,0.21971260763234576,0.32718456915155464
54,-0.20,2.188174369055842e-14,1.4106894598521367e-12,0.18527588544456167,0.21800520114901525
