# eigenvalues
# kx ky  E
0 0 -15.02589431381
0 0 -15.001564056534
0 1 -15.001333379958
0 1 -15.001171764244
0 2 -15.001179124554
0 2 -14.997165634035
0 3 -15.001333379419
0 3 -15.001171763918
1 0 -15.000928154409
1 0 -15.00088492132
1 1 -15.001246208964
1 1 -15.000888228969
1 2 -15.00136335316
1 2 -14.998641635518
1 3 -15.001246209765
1 3 -15.000888229392
2 0 -15.000901817515
2 0 -14.992488834815
2 1 -15.001155164004
2 1 -14.996372530393
2 2 -15.000855206923
2 2 -15.000855181287
2 3 -15.00115516827
2 3 -14.996372529237
3 0 -15.000928153802
3 0 -15.000884921513
3 1 -15.001246209771
3 1 -15.000888229061
3 2 -15.001363353404
3 2 -14.998641635584
3 3 -15.001246208601
3 3 -15.000888228537
