#  N    Kx    Ky    lambda
4 0 1 1.0225911710816e-09
4 0 1 9.151886783882e-10
4 0 1 9.0358973594217e-10
4 0 1 8.434935710717e-10
4 0 1 7.5863924189851e-10
4 0 1 7.2125122825156e-10
4 0 1 7.0283318068631e-10
4 0 1 6.2587113836578e-10
4 0 1 6.1106007319545e-10
4 0 1 5.8135781457481e-10
4 0 1 5.6251061962556e-10
4 0 1 5.1422072951649e-10
4 0 1 4.9077654331717e-10
4 0 1 4.6797655618087e-10
4 0 1 4.325940054642e-10
4 0 1 4.064015967747e-10
4 0 1 3.9058550196895e-10
4 0 1 3.8822174251636e-10
4 0 1 3.6119232333664e-10
4 0 1 3.4133915283463e-10
4 0 1 3.3614324749842e-10
4 0 1 3.171606168895e-10
4 0 1 3.00651072581e-10
4 0 1 2.925399065108e-10
4 0 1 2.8374114494418e-10
4 0 1 2.7318813992926e-10
4 0 1 2.63160082991e-10
4 0 1 2.4914231353824e-10
4 0 1 2.3657444556098e-10
4 0 1 2.3558955505281e-10
4 0 1 2.1928806057598e-10
4 0 1 2.1121915668513e-10
4 0 1 1.928540504773e-10
4 0 1 1.7851540029702e-10
4 0 1 1.7304135892737e-10
4 0 1 1.6951990881106e-10
4 0 1 1.6307034389788e-10
4 0 1 1.5662715613616e-10
4 0 1 1.4723539583106e-10
4 0 1 1.3862955331739e-10
4 0 1 1.3470884212861e-10
4 0 1 1.2961672685409e-10
4 0 1 1.275341364473e-10
4 0 1 1.263076764862e-10
4 0 1 1.1502808921776e-10
4 0 1 1.1261525505757e-10
4 0 1 1.1115431524691e-10
4 0 1 1.0319589129248e-10
4 0 1 1.0114553776605e-10
4 0 1 9.8142369219193e-11
4 0 1 9.2499279034828e-11
4 0 1 8.9336234065412e-11
4 0 1 8.7055261346698e-11
4 0 1 8.3644185933376e-11
4 0 1 8.1597567001721e-11
4 0 1 7.7745202620966e-11
4 0 1 7.5289984991465e-11
4 0 1 7.1132970060197e-11
4 0 1 6.5734553709506e-11
4 0 1 6.4896081686191e-11
4 0 1 6.2602517707645e-11
4 0 1 6.1684637078717e-11
4 0 1 5.8707901173356e-11
4 0 1 5.6394621799381e-11
4 0 1 5.305945267062e-11
4 0 1 5.2508829565507e-11
4 0 1 4.98284982959e-11
4 0 1 4.8777285983188e-11
4 0 1 4.6157119551044e-11
4 0 1 4.3587470688466e-11
4 0 1 4.2084019744895e-11
4 0 1 4.0391642027001e-11
4 0 1 3.7510049553022e-11
4 0 1 3.6039066005361e-11
4 0 1 3.4995433978136e-11
4 0 1 3.3475334286326e-11
4 0 1 3.2174428142347e-11
4 0 1 3.0298486262037e-11
4 0 1 2.9712216623491e-11
4 0 1 2.7429293686875e-11
4 0 1 2.6659472116738e-11
4 0 1 2.4477038307796e-11
4 0 1 2.4104720584433e-11
4 0 1 2.2263444389989e-11
4 0 1 2.2019327737168e-11
4 0 1 2.0759144432808e-11
4 0 1 2.0314606797415e-11
4 0 1 1.9639434829827e-11
4 0 1 1.7993979413648e-11
4 0 1 1.7096384398022e-11
4 0 1 1.6668215885148e-11
4 0 1 1.5896374962371e-11
4 0 1 1.4370030909265e-11
4 0 1 1.3948208008874e-11
4 0 1 1.343722133961e-11
4 0 1 1.3063078624423e-11
4 0 1 1.2362943547196e-11
4 0 1 1.0946879910177e-11
4 0 1 1.0368119257309e-11
4 0 1 1.0107390871728e-11
4 0 1 8.7466627040279e-12
4 0 1 8.4901552507817e-12
4 0 1 8.2791259207302e-12
4 0 1 7.0548388054452e-12
4 0 1 6.6686187827664e-12
4 0 1 6.308853050409e-12
4 0 1 5.738726960481e-12
4 0 1 5.597180266786e-12
4 0 1 5.2683838086417e-12
4 0 1 4.4867554665567e-12
4 0 1 4.1722604943132e-12
4 0 1 3.9335841143892e-12
4 0 1 3.6464150451839e-12
4 0 1 3.1627923670944e-12
4 0 1 2.9375720254499e-12
4 0 1 2.8886295391844e-12
4 0 1 2.3658817609541e-12
4 0 1 2.2988538428615e-12
4 0 1 1.9886669217969e-12
4 0 1 1.8018182539174e-12
4 0 1 1.6409774102623e-12
4 0 1 1.6053153128146e-12
4 0 1 1.3587116857368e-12
4 0 1 1.2170022873109e-12
4 0 1 1.1165132017e-12
4 0 1 8.6248725845807e-13
4 0 1 7.8970410171494e-13
4 0 1 4.5869809311175e-13
4 0 1 4.4226090149049e-13
4 0 1 3.3309368594587e-13
4 0 1 3.0040354012183e-13
4 0 1 2.886181054651e-13
4 0 1 2.3477580723404e-13
4 0 1 2.1194778746537e-13
4 0 1 1.7098851122499e-13
4 0 1 1.5906943635658e-13
4 0 1 1.4237877133667e-13
4 0 1 1.298347276347e-13
4 0 1 1.2227956999658e-13
4 0 1 1.0934740161149e-13
4 0 1 1.0706868724127e-13
4 0 1 9.7960028858764e-14
4 0 1 8.5290566555463e-14
4 0 1 7.7158720873393e-14
4 0 1 7.1053883998409e-14
4 0 1 6.6892407960852e-14
4 0 1 6.3731664654503e-14
4 0 1 5.5664400952844e-14
4 0 1 4.972313712723e-14
4 0 1 4.6604889454802e-14
4 0 1 4.4013035174122e-14
4 0 1 4.3577080029242e-14
4 0 1 3.7569201891326e-14
4 0 1 3.3911079460236e-14
4 0 1 3.3051203240286e-14
4 0 1 3.0803582740148e-14
4 0 1 2.6607956018634e-14
4 0 1 2.3325839774799e-14
4 0 1 2.1148440855344e-14
4 0 1 1.8457999674257e-14
4 0 1 1.6657072912131e-14
4 0 1 1.3934722456104e-14
4 0 1 1.2350597329787e-14
4 0 1 1.1137800525271e-14
4 0 1 1.0633536459813e-14
4 0 1 9.8280556131523e-15
4 0 1 8.6301177095636e-15
4 0 1 7.8818413315101e-15
4 0 1 7.1245921305436e-15
4 0 1 6.3009491449195e-15
4 0 1 5.6169694581623e-15
4 0 1 4.592141250414e-15
4 0 1 4.3565479584078e-15
4 0 1 3.9393601656233e-15
4 0 1 3.794793426713e-15
4 0 1 3.5230962943261e-15
4 0 1 3.1208573599292e-15
4 0 1 2.6714132076244e-15
4 0 1 2.4452698062185e-15
4 0 1 2.3546861804761e-15
4 0 1 2.1563545179695e-15
4 0 1 1.9613935706943e-15
4 0 1 1.8324603474962e-15
4 0 1 1.4090705327712e-15
4 0 1 1.3149165257508e-15
4 0 1 1.056653921738e-15
4 0 1 7.1845446000154e-16
4 0 1 2.8369004256728e-16
4 0 1 2.2840344332612e-16
4 0 1 1.9523525432085e-16
4 0 1 1.3058962571431e-16
4 0 1 4.193350805017e-18
4 0 1 3.5486535468304e-18
4 0 1 2.0895044351934e-18
4 0 1 1.2918426852808e-18
4 0 2 0.0027776002779105
4 0 2 0.0027744417708903
4 0 2 0.0027736786025955
4 0 2 0.0027705578153612
4 0 2 0.0024377276454351
4 0 2 0.002435447415904
4 0 2 0.0024354287536108
4 0 2 0.0024331255461897
4 0 2 0.0020234233552424
4 0 2 0.002021278828492
4 0 2 0.0020211685430292
4 0 2 0.0020190037403616
4 0 2 0.0016795239985559
4 0 2 0.0016788013137489
4 0 2 0.0016787902087495
