# eigenvalues
# kx ky  E
0 0 0.0025940499662123
0 0 0.0026406956627336
0 1 0.0024483398979729
0 1 0.0025006210000952
0 2 0.0026024649038864
0 2 0.0026995281380898
0 3 0.0025006208427489
0 3 0.0027043683487777
0 4 0.00044267374587393
0 4 0.0024483398202019
0 5 0.0025006208426641
0 5 0.0027043683504513
0 6 0.0026024649038359
0 6 0.0026995281382651
0 7 0.0024483398291243
0 7 0.002500621080761
0 8 0.0025940499730302
0 8 0.0026406956671837
0 9 0.0024483398137393
0 9 0.002500621101776
0 10 0.0026024649038673
0 10 0.0026995281434627
0 11 0.0025006208427316
0 11 0.0027043683539615
0 12 0.00044267374587388
0 12 0.0024483398185704
0 13 0.0025006208431102
0 13 0.0027043683508583
0 14 0.0026024649038397
0 14 0.0026995281413771
0 15 0.0024483399480893
0 15 0.0025006209251626
0 16 0.0025940499654166
0 16 0.0026406956589021
0 17 0.0024483398424385
0 17 0.0025006211171073
0 18 0.0026024649038153
0 18 0.0026995281476097
0 19 0.0025006208426817
0 19 0.0027043683575513
0 20 0.00044267374587387
0 20 0.0024483398204736
0 21 0.0025006208427857
0 21 0.0027043683543398
0 22 0.0026024649038247
0 22 0.0026995281383459
0 23 0.0024483398133797
0 23 0.0025006208860135
